popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
85.0,0.97,0.463,10.0,-7.258999999999999,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,142417.0,4.0
86.0,0.7170000000000001,0.598,5.0,-5.613,0.0,0.0809,0.22,0.0,0.122,0.496,153.905,151040.0,4.0
86.0,0.6859999999999999,0.561,10.0,-9.929,0.0,0.191,0.185,0.0,0.114,0.18600000000000005,148.775,116240.0,4.0
89.0,0.693,0.564,1.0,-3.857,0.0,0.0378,0.399,0.0,0.0409,0.574,185.913,210901.0,3.0
93.0,0.732,0.463,11.0,-6.972,0.0,0.0287,0.374,0.0,0.194,0.397,95.971,212607.0,4.0
91.0,0.4,0.795,10.0,-3.731,0.0,0.461,0.119,0.0,0.159,0.7020000000000001,190.097,186107.0,4.0
86.0,0.764,0.555,11.0,-6.414,1.0,0.0604,0.275,0.0,0.0824,0.255,111.004,169227.0,4.0
86.0,0.611,0.459,0.0,-3.926,0.0,0.0422,0.614,0.0,0.126,0.177,148.28,213878.0,4.0
90.0,0.599,0.887,4.0,-3.967,1.0,0.0984,0.0192,1.21e-06,0.3,0.8809999999999999,170.918,193837.0,4.0
89.0,0.657,0.768,8.0,-4.628,1.0,0.0507,0.108,0.0,0.14400000000000002,0.759,75.025,186223.0,4.0
90.0,0.359,0.5429999999999999,7.0,-7.582000000000002,1.0,0.0919,0.4920000000000001,1.58e-05,0.118,0.453,68.53399999999999,221307.0,4.0
87.0,0.7959999999999999,0.586,4.0,-6.9460000000000015,0.0,0.147,0.0247,0.0,0.132,0.179,97.981,200107.0,4.0
87.0,0.614,0.66,0.0,-2.8480000000000003,1.0,0.0441,0.19,0.0,0.211,0.452,145.01,245267.0,4.0
85.0,0.872,0.8140000000000001,0.0,-4.5680000000000005,1.0,0.155,0.00485,1.96e-06,0.214,0.57,98.985,199427.0,4.0
87.0,0.442,0.737,7.0,-5.046,1.0,0.109,0.0589,0.0,0.102,0.21,112.93,218320.0,5.0
85.0,0.894,0.511,2.0,-4.768,1.0,0.42,0.0251,0.0,0.14,0.568,120.08,176632.0,4.0
90.0,0.812,0.519,2.0,-4.823,1.0,0.0385,0.379,0.0,0.13,0.5539999999999999,104.954,165714.0,4.0
90.0,0.3670000000000001,0.111,4.0,-14.084,1.0,0.0972,0.978,3.97e-05,0.0897,0.198,82.64200000000002,196077.0,4.0
86.0,0.5539999999999999,0.498,9.0,-8.866,1.0,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067.0,4.0
95.0,0.8240000000000001,0.588,6.0,-6.4,0.0,0.0924,0.6920000000000001,0.000104,0.149,0.513,98.027,209438.0,4.0
84.0,0.7290000000000001,0.603,6.0,-6.7360000000000015,0.0,0.0666,0.0948,0.0,0.113,0.207,134.972,243976.0,4.0
85.0,0.883,0.525,2.0,-8.054,0.0,0.0633,0.189,0.0,0.0971,0.312,99.978,174100.0,4.0
92.0,0.294,0.505,3.0,-8.106,1.0,0.042,0.12,0.0,0.0977,0.35700000000000004,85.33200000000002,209893.0,1.0
85.0,0.685,0.6920000000000001,2.0,-5.122000000000001,1.0,0.0457,0.328,0.0,0.153,0.578,159.966,240051.0,5.0
88.0,0.7709999999999999,0.6709999999999999,2.0,-5.617000000000001,1.0,0.0553,0.00929,0.0,0.0637,0.7140000000000001,85.02600000000002,171360.0,4.0
93.0,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0,4.0
94.0,0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534.0,4.0
88.0,0.755,0.522,2.0,-4.368,1.0,0.0575,0.5329999999999999,0.0,0.0685,0.925,89.96,157560.0,4.0
82.0,0.5670000000000001,0.515,6.0,-10.265,0.0,0.247,0.354,0.0,0.078,0.321,120.1,224000.0,1.0
85.0,0.6559999999999999,0.637,1.0,-3.867,1.0,0.0256,0.34,0.0,0.187,0.267,105.037,203141.0,4.0
88.0,0.659,0.623,4.0,-2.253,1.0,0.0451,0.0667,0.0,0.5820000000000001,0.439,88.042,181824.0,4.0
83.0,0.848,0.713,7.0,-5.636,0.0,0.17600000000000002,0.158,0.0,0.0765,0.509,111.984,279907.0,4.0
83.0,0.862,0.685,0.0,-7.699,0.0,0.242,0.0342,0.0,0.204,0.672,100.024,172800.0,4.0
93.0,0.857,0.621,9.0,-6.376,0.0,0.0824,0.14800000000000002,0.0,0.0865,0.6679999999999999,97.986,204467.0,4.0
85.0,0.505,0.281,2.0,-12.404000000000002,1.0,0.1,0.57,0.000254,0.163,0.28300000000000003,82.338,168420.0,4.0
84.0,0.899,0.8109999999999999,2.0,-6.294,1.0,0.258,0.000677,0.0,0.0672,0.5870000000000001,105.038,126446.0,4.0
90.0,0.778,0.317,1.0,-10.732,0.0,0.334,0.5920000000000001,0.0,0.0881,0.327,140.048,178627.0,4.0
84.0,0.684,0.6709999999999999,2.0,-6.424,0.0,0.289,0.0119,0.0,0.0769,0.45,179.987,171253.0,4.0
95.0,0.893,0.748,7.0,-4.299,0.0,0.0821,0.272,1.62e-05,0.093,0.867,117.958,157605.0,4.0
82.0,0.921,0.635,1.0,-4.904,1.0,0.416,0.0218,0.0,0.0946,0.5489999999999999,130.028,192540.0,4.0
85.0,0.588,0.7929999999999999,7.0,-6.23,1.0,0.0794,0.466,0.000647,0.913,0.6940000000000001,76.997,112239.0,5.0
93.0,0.754,0.6459999999999999,7.0,-5.795,1.0,0.317,0.152,1.85e-05,0.108,0.429,176.08900000000003,242573.0,4.0
84.0,0.63,0.6709999999999999,6.0,-6.659,0.0,0.256,0.363,0.0,0.113,0.333,89.921,174333.0,4.0
85.0,0.682,0.5589999999999999,0.0,-5.545,1.0,0.127,0.174,0.0,0.344,0.13699999999999998,202.015,192471.0,4.0
88.0,0.6679999999999999,0.892,5.0,-3.0010000000000003,0.0,0.0645,0.298,0.0,0.735,0.478,95.927,159011.0,4.0
89.0,0.591,0.841,4.0,-4.351,0.0,0.0304,0.0119,0.0,0.395,0.392,109.034,158805.0,4.0
96.0,0.7859999999999999,0.8079999999999999,7.0,-3.702,1.0,0.0882,0.0846,0.00028900000000000003,0.0822,0.609,105.027,301714.0,4.0
85.0,0.726,0.408,11.0,-6.606,0.0,0.0614,0.603,0.0,0.225,0.459,115.918,143227.0,4.0
82.0,0.848,0.649,2.0,-6.082999999999998,1.0,0.315,0.232,0.0,0.101,0.629,118.04,181948.0,4.0
84.0,0.514,0.393,1.0,-8.72,0.0,0.529,0.5579999999999999,0.0,0.282,0.598,78.039,203174.0,4.0
85.0,0.632,0.732,6.0,-3.498,1.0,0.092,0.105,1.15e-05,0.111,0.317,159.0,221173.0,4.0
85.0,0.901,0.4,0.0,-8.575,1.0,0.126,0.051,0.0,0.0599,0.34600000000000003,135.984,197573.0,4.0
85.0,0.7190000000000001,0.5379999999999999,11.0,-6.897,0.0,0.28,0.632,0.0,0.135,0.8029999999999999,204.132,117013.0,4.0
81.0,0.82,0.6970000000000001,6.0,-7.296,0.0,0.378,0.0349,0.0,0.197,0.629,154.99200000000005,185866.0,4.0
87.0,0.5820000000000001,0.534,4.0,-7.006,0.0,0.0439,0.5760000000000001,2.04e-06,0.101,0.34,128.02100000000002,196240.0,4.0
88.0,0.738,0.7170000000000001,1.0,-5.121,1.0,0.0573,0.062,0.0,0.205,0.5,98.047,139813.0,4.0
93.0,0.7979999999999999,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,219947.0,4.0
88.0,0.736,0.308,4.0,-7.83,1.0,0.0677,0.946,0.0,0.18600000000000005,0.361,111.202,220492.0,4.0
88.0,0.6940000000000001,0.466,9.0,-6.757999999999999,1.0,0.0384,0.0934,0.0,0.098,0.246,103.018,189613.0,4.0
81.0,0.816,0.5820000000000001,8.0,-4.141,1.0,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366.0,4.0
88.0,0.7170000000000001,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,207320.0,4.0
82.0,0.755,0.772,6.0,-5.585,1.0,0.4,0.128,0.0,0.157,0.6779999999999999,132.906,141827.0,4.0
82.0,0.8740000000000001,0.7140000000000001,5.0,-4.9460000000000015,1.0,0.233,0.0273,0.0,0.35600000000000004,0.85,130.046,216678.0,4.0
88.0,0.773,0.836,9.0,-2.326,0.0,0.153,0.28300000000000003,2.1e-05,0.0828,0.4970000000000001,112.01,201271.0,4.0
91.0,0.8059999999999999,0.5579999999999999,9.0,-6.46,1.0,0.0683,0.482,0.0,0.0618,0.6779999999999999,95.016,198973.0,4.0
